"Id","Name","Path","UserName","CPU","WS","Date"
"2168","cmd","C:\Windows\system32\cmd.exe","YSN\?????????????","0,03125","2568192","06.12.2022 23:29:58"
"2136","Code","C:\ProgramData\Microsoft VS Code\Code.exe","YSN\?????????????","121,1875","189321216","06.12.2022 23:29:58"
"3528","Code","C:\ProgramData\Microsoft VS Code\Code.exe","YSN\?????????????","0,78125","57405440","06.12.2022 23:29:58"
"3624","Code","C:\ProgramData\Microsoft VS Code\Code.exe","YSN\?????????????","17,265625","87748608","06.12.2022 23:29:58"
"3744","Code","C:\ProgramData\Microsoft VS Code\Code.exe","YSN\?????????????","264,390625","145211392","06.12.2022 23:29:58"
"3912","Code","C:\ProgramData\Microsoft VS Code\Code.exe","YSN\?????????????","0,015625","9388032","06.12.2022 23:29:58"
"4024","Code","C:\ProgramData\Microsoft VS Code\Code.exe","YSN\?????????????","1,015625","64573440","06.12.2022 23:29:58"
"3568","CodeHelper","c:\ProgramData\Microsoft VS Code\resources\app\out\vs\platform\files\node\watcher\win32\CodeHelper.exe","YSN\?????????????","0,015625","12877824","06.12.2022 23:29:58"
"1204","conhost","C:\Windows\system32\conhost.exe","YSN\?????????????","0,015625","7815168","06.12.2022 23:29:58"
"1420","conhost","C:\Windows\system32\conhost.exe","YSN\?????????????","0","3252224","06.12.2022 23:29:58"
"2704","conhost","C:\Windows\system32\conhost.exe","YSN\?????????????","0,171875","5664768","06.12.2022 23:29:58"
"364","csrss","","","0,140625","4034560","06.12.2022 23:29:58"
"436","csrss","","","18","30056448","06.12.2022 23:29:58"
"1584","dfsrs","C:\Windows\system32\DFSRs.exe","NT AUTHORITY\???????","0,171875","19951616","06.12.2022 23:29:58"
"1860","dfssvc","C:\Windows\system32\dfssvc.exe","NT AUTHORITY\???????","0","5316608","06.12.2022 23:29:58"
"1624","dns","C:\Windows\system32\dns.exe","NT AUTHORITY\???????","0,0625","87080960","06.12.2022 23:29:58"
"836","dwm","C:\Windows\system32\dwm.exe","Window Manager\DWM-1","11,9375","72863744","06.12.2022 23:29:58"
"2972","explorer","C:\Windows\Explorer.EXE","YSN\?????????????","11,40625","117821440","06.12.2022 23:29:58"
"0","Idle","","","","4096","06.12.2022 23:29:58"
"1664","ismserv","C:\Windows\System32\ismserv.exe","NT AUTHORITY\???????","0","4612096","06.12.2022 23:29:58"
"532","lsass","C:\Windows\system32\lsass.exe","NT AUTHORITY\???????","2,125","56074240","06.12.2022 23:29:58"
"1544","Microsoft.ActiveDirectory.WebServices","C:\Windows\ADWS\Microsoft.ActiveDirectory.WebServices.exe","NT AUTHORITY\???????","0,296875","41914368","06.12.2022 23:29:58"
"2560","msdtc","C:\Windows\System32\msdtc.exe","NT AUTHORITY\NETWORK SERVICE","0,015625","6471680","06.12.2022 23:29:58"
"1888","notepad","C:\Windows\system32\NOTEPAD.EXE","YSN\?????????????","0","8691712","06.12.2022 23:29:58"
"2292","powershell","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","YSN\?????????????","0,078125","48443392","06.12.2022 23:29:58"
"2844","powershell","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","YSN\?????????????","0,140625","55783424","06.12.2022 23:29:58"
"524","services","","","0,125","8114176","06.12.2022 23:29:58"
"252","smss","","","0","1044480","06.12.2022 23:29:58"
"1516","spoolsv","C:\Windows\System32\spoolsv.exe","NT AUTHORITY\???????","0,046875","9273344","06.12.2022 23:29:58"
"220","svchost","C:\Windows\System32\svchost.exe","NT AUTHORITY\???????","0,015625","8605696","06.12.2022 23:29:58"
"368","svchost","C:\Windows\system32\svchost.exe","NT AUTHORITY\NETWORK SERVICE","0,0625","15626240","06.12.2022 23:29:58"
