"Id","Name","Path","UserName","CPU","WS","Date"
"3144","cmd","C:\Windows\system32\cmd.exe","YSN\?????????????","0","2453504","07.12.2022 0:25:25"
"712","Code","C:\ProgramData\Microsoft VS Code\Code.exe","YSN\?????????????","4,390625","155324416","07.12.2022 0:25:25"
"3132","Code","C:\ProgramData\Microsoft VS Code\Code.exe","YSN\?????????????","0,46875","51818496","07.12.2022 0:25:25"
"3548","Code","C:\ProgramData\Microsoft VS Code\Code.exe","YSN\?????????????","1,515625","79126528","07.12.2022 0:25:25"
"3672","Code","C:\ProgramData\Microsoft VS Code\Code.exe","YSN\?????????????","4,25","106487808","07.12.2022 0:25:25"
"3864","Code","C:\ProgramData\Microsoft VS Code\Code.exe","YSN\?????????????","0,015625","9408512","07.12.2022 0:25:25"
"3944","Code","C:\ProgramData\Microsoft VS Code\Code.exe","YSN\?????????????","0,515625","60944384","07.12.2022 0:25:25"
"3104","CodeHelper","c:\ProgramData\Microsoft VS Code\resources\app\out\vs\platform\files\node\watcher\win32\CodeHelper.exe","YSN\?????????????","0,0625","11743232","07.12.2022 0:25:25"
"2916","conhost","C:\Windows\system32\conhost.exe","YSN\?????????????","0","4669440","07.12.2022 0:25:25"
"3100","conhost","C:\Windows\system32\conhost.exe","YSN\?????????????","0,015625","3260416","07.12.2022 0:25:25"
"360","csrss","","","0,0625","4046848","07.12.2022 0:25:25"
"432","csrss","","","2,0625","18399232","07.12.2022 0:25:25"
"1564","dfsrs","C:\Windows\system32\DFSRs.exe","NT AUTHORITY\???????","0,09375","18616320","07.12.2022 0:25:25"
"1872","dfssvc","C:\Windows\system32\dfssvc.exe","NT AUTHORITY\???????","0","5308416","07.12.2022 0:25:25"
"1604","dns","C:\Windows\system32\dns.exe","NT AUTHORITY\???????","0,09375","86716416","07.12.2022 0:25:25"
"832","dwm","C:\Windows\system32\dwm.exe","Window Manager\DWM-1","0,671875","59084800","07.12.2022 0:25:25"
"2920","explorer","C:\Windows\Explorer.EXE","YSN\?????????????","1,5","78807040","07.12.2022 0:25:25"
"0","Idle","","","","4096","07.12.2022 0:25:25"
"1644","ismserv","C:\Windows\System32\ismserv.exe","NT AUTHORITY\???????","0","4542464","07.12.2022 0:25:25"
"528","lsass","C:\Windows\system32\lsass.exe","NT AUTHORITY\???????","0,484375","42029056","07.12.2022 0:25:25"
