"Id","Name","Path","UserName","CPU","WS","Date"
"2768","cmd","C:\Windows\system32\cmd.exe","YSN\?????????????","0","2420736","07.12.2022 0:35:21"
"3144","cmd","C:\Windows\system32\cmd.exe","YSN\?????????????","0","2469888","07.12.2022 0:35:21"
"712","Code","C:\ProgramData\Microsoft VS Code\Code.exe","YSN\?????????????","12,484375","185794560","07.12.2022 0:35:21"
"3132","Code","C:\ProgramData\Microsoft VS Code\Code.exe","YSN\?????????????","0,5625","52600832","07.12.2022 0:35:21"
"3548","Code","C:\ProgramData\Microsoft VS Code\Code.exe","YSN\?????????????","3,796875","86175744","07.12.2022 0:35:21"
"3672","Code","C:\ProgramData\Microsoft VS Code\Code.exe","YSN\?????????????","111,5625","205750272","07.12.2022 0:35:21"
"3864","Code","C:\ProgramData\Microsoft VS Code\Code.exe","YSN\?????????????","0,015625","9424896","07.12.2022 0:35:21"
"3944","Code","C:\ProgramData\Microsoft VS Code\Code.exe","YSN\?????????????","0,546875","60669952","07.12.2022 0:35:21"
"3104","CodeHelper","c:\ProgramData\Microsoft VS Code\resources\app\out\vs\platform\files\node\watcher\win32\CodeHelper.exe","YSN\?????????????","0,078125","11952128","07.12.2022 0:35:21"
"2216","conhost","C:\Windows\system32\conhost.exe","YSN\?????????????","0,015625","7413760","07.12.2022 0:35:21"
"2728","conhost","C:\Windows\system32\conhost.exe","YSN\?????????????","0","5672960","07.12.2022 0:35:21"
"2916","conhost","C:\Windows\system32\conhost.exe","YSN\?????????????","0,03125","5545984","07.12.2022 0:35:21"
"3100","conhost","C:\Windows\system32\conhost.exe","YSN\?????????????","0,015625","3260416","07.12.2022 0:35:21"
"3524","conhost","C:\Windows\system32\conhost.exe","YSN\?????????????","0,015625","7815168","07.12.2022 0:35:21"
"360","csrss","","","0,0625","4055040","07.12.2022 0:35:21"
"432","csrss","","","7,359375","32997376","07.12.2022 0:35:21"
"1564","dfsrs","C:\Windows\system32\DFSRs.exe","NT AUTHORITY\???????","0,125","19058688","07.12.2022 0:35:21"
"1872","dfssvc","C:\Windows\system32\dfssvc.exe","NT AUTHORITY\???????","0","5312512","07.12.2022 0:35:21"
"1604","dns","C:\Windows\system32\dns.exe","NT AUTHORITY\???????","0,09375","87134208","07.12.2022 0:35:21"
"832","dwm","C:\Windows\system32\dwm.exe","Window Manager\DWM-1","5,984375","65896448","07.12.2022 0:35:21"
"2920","explorer","C:\Windows\Explorer.EXE","YSN\?????????????","22,109375","115195904","07.12.2022 0:35:21"
"0","Idle","","","","4096","07.12.2022 0:35:21"
"1644","ismserv","C:\Windows\System32\ismserv.exe","NT AUTHORITY\???????","0","4567040","07.12.2022 0:35:21"
"528","lsass","C:\Windows\system32\lsass.exe","NT AUTHORITY\???????","0,828125","45895680","07.12.2022 0:35:21"
"1524","Microsoft.ActiveDirectory.WebServices","C:\Windows\ADWS\Microsoft.ActiveDirectory.WebServices.exe","NT AUTHORITY\???????","0,28125","41721856","07.12.2022 0:35:21"
"1376","msdtc","C:\Windows\System32\msdtc.exe","NT AUTHORITY\NETWORK SERVICE","0,03125","6668288","07.12.2022 0:35:21"
"2140","powershell","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","YSN\?????????????","0,109375","56025088","07.12.2022 0:35:21"
"2656","powershell","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","YSN\?????????????","0,421875","88010752","07.12.2022 0:35:21"
"520","services","","","0,203125","5984256","07.12.2022 0:35:21"
"244","smss","","","0,109375","1064960","07.12.2022 0:35:21"
"1500","spoolsv","C:\Windows\System32\spoolsv.exe","NT AUTHORITY\???????","0,03125","9187328","07.12.2022 0:35:21"
"76","svchost","C:\Windows\System32\svchost.exe","NT AUTHORITY\???????","0,015625","8622080","07.12.2022 0:35:21"
"116","svchost","C:\Windows\System32\svchost.exe","NT AUTHORITY\???????","0","2772992","07.12.2022 0:35:21"
"436","svchost","C:\Windows\system32\svchost.exe","NT AUTHORITY\NETWORK SERVICE","0,015625","15331328","07.12.2022 0:35:21"
"676","svchost","C:\Windows\system32\svchost.exe","NT AUTHORITY\???????","0,046875","9527296","07.12.2022 0:35:21"
"720","svchost","C:\Windows\system32\svchost.exe","NT AUTHORITY\NETWORK SERVICE","0,6875","7073792","07.12.2022 0:35:21"
"876","svchost","C:\Windows\System32\svchost.exe","NT AUTHORITY\LOCAL SERVICE","2,65625","21774336","07.12.2022 0:35:21"
"924","svchost","C:\Windows\system32\svchost.exe","NT AUTHORITY\???????","4,484375","35504128","07.12.2022 0:35:21"
"972","svchost","C:\Windows\system32\svchost.exe","NT AUTHORITY\LOCAL SERVICE","0,09375","16019456","07.12.2022 0:35:21"
"1064","svchost","C:\Windows\system32\svchost.exe","NT AUTHORITY\LOCAL SERVICE","0,03125","10473472","07.12.2022 0:35:21"
"1624","svchost","C:\Windows\system32\svchost.exe","NT AUTHORITY\LOCAL SERVICE","0,03125","7487488","07.12.2022 0:35:21"
"1840","svchost","C:\Windows\System32\svchost.exe","NT AUTHORITY\NETWORK SERVICE","0","4038656","07.12.2022 0:35:21"
"1908","svchost","C:\Windows\System32\svchost.exe","NT AUTHORITY\???????","0,109375","11411456","07.12.2022 0:35:21"
"2276","svchost","C:\Windows\system32\svchost.exe","NT AUTHORITY\NETWORK SERVICE","0","4374528","07.12.2022 0:35:21"
"4","System","","","2,328125","282624","07.12.2022 0:35:21"
"2872","taskhostex","C:\Windows\system32\taskhostex.exe","YSN\?????????????","0,015625","8175616","07.12.2022 0:35:21"
"820","VBoxService","C:\Windows\System32\VBoxService.exe","NT AUTHORITY\???????","0,03125","5906432","07.12.2022 0:35:21"
"2108","VBoxTray","C:\Windows\System32\VBoxTray.exe","YSN\?????????????","0,015625","6811648","07.12.2022 0:35:21"
"2228","vds","C:\Windows\System32\vds.exe","NT AUTHORITY\???????","0,03125","8073216","07.12.2022 0:35:21"
"424","wininit","C:\Windows\system32\wininit.exe","NT AUTHORITY\???????","0,046875","3825664","07.12.2022 0:35:21"
"460","winlogon","C:\Windows\system32\winlogon.exe","NT AUTHORITY\???????","0,03125","6012928","07.12.2022 0:35:21"
"2676","winpty-agent","c:\ProgramData\Microsoft VS Code\resources\app\node_modules.asar.unpacked\node-pty\build\Release\winpty-agent.exe","YSN\?????????????","0","4399104","07.12.2022 0:35:21"
"2584","WmiPrvSE","C:\Windows\system32\wbem\wmiprvse.exe","NT AUTHORITY\???????","0,015625","5967872","07.12.2022 0:35:21"
