"(PDH-CSV 4.0) (","\\AD-SRV\Физический диск(_Total)\% активности диска","\\AD-SRV\Процессор(_Total)\% загруженности процессора","\\AD-SRV\Память\% использования выделенной памяти","\\AD-SRV\IPv4\Датаграмм/сек"
"12/08/2022 22:24:21.771"," "," ","22.522046239876168"," "
"12/08/2022 22:24:26.772","46.054335262450614","24.461324967788002","40.865825875581812","4.80665884320877"
"12/08/2022 22:24:31.773","1.8590771559016399","11.121901248998389","41.020939840198821","5.7981654699771443"
"12/08/2022 22:24:36.774","0.14197759309625754","7.8270467354842115","40.768266495165634","3.9993588835487754"
"12/08/2022 22:24:41.776","0.020994140535376578","6.6666733314731825","40.540228256248703","9.1974635060888783"
"12/08/2022 22:24:46.776","0.28930867391868514","6.4925616411539373","40.290389038467829","8.199285334474558"
"12/08/2022 22:24:51.761","4.9431938338478068","17.564689564593916","41.469603985218939","7.2217036828350807"
"12/08/2022 22:24:56.772","0.041242790195096399","8.3233003683711999","24.80875091291599","7.7831668989009719"
"12/08/2022 22:25:01.772","0.16999903780544603","6.5630288532566912","24.011271106072662","10.399904338862072"
"12/08/2022 22:25:06.787","3.9548526700240214","13.780447355946212","25.120177895987528","6.5797916142907162"
"12/08/2022 22:25:11.772","0.03811882017436552","11.912923774698115","32.875222097472175","6.0187831945104513"
"12/08/2022 22:25:16.772","0.35830376632819722","6.9609766327917271","34.643172478444285","11.599014716149677"
"12/08/2022 22:25:21.787","0.014621902972577242","7.4665641863953862","32.38884225901743","8.1753324881280776"
"12/08/2022 22:25:26.772","0.89037368536255335","4.6320680209434029","32.786056093918617","34.504859430505491"
"12/08/2022 22:25:31.772","0.0073319665662324581","4.2973124042554378","32.645003760668857","2.1999941485853705"
"12/08/2022 22:25:36.772","0.011998963529530319","1.8053560533441093","32.449557985153533","2.7997587601134168"
"12/08/2022 22:25:41.787","0.93522740612724709","1.9313622448616341","32.20931119807279","2.7917172939645076"
"12/08/2022 22:25:46.772","0.0063533055353981929","1.6542848090779549","32.174320626996149","2.6079284660047617"
"12/08/2022 22:25:51.772","0.00099999206006304319","1.5632815875441963","31.979092861269471","2.5999818473944361"
"12/08/2022 22:25:56.787","0.73211573325518087","12.842208877633299","35.219154340029867","1.9939523598071904"
"12/08/2022 22:26:01.772","0.10097761287422534","25.238037574433204","34.783243767645168","1.604943995915354"
"12/08/2022 22:26:06.787","0.024924467895510727","6.2216895431408847","23.467772702994363","2.5921654191122627"
"12/08/2022 22:26:11.772","0.015380724796244014","1.1058213525705463","23.465265590425012","3.6109638271294444"
"12/08/2022 22:26:16.787","0.0049845724491953932","2.6450693516524737","24.217617371019958","3.3895160332525167"
